Cell_ID,Timestamp,Machine,Shift,Operator,Recipe,Batch_ID,Cell_Type,Voltage,Current,Temperature
100025,2026-01-01 10:05:00,M4,Day,OP12,R3,B001,4680-B,3.683,47.1,29.64
100026,2026-01-01 10:10:00,M7,Day,OP10,R2,B001,4680-B,3.62,47.34,31.18
100027,2026-01-01 10:15:00,M4,Day,OP03,R3,B001,4680-B,3.724,46.45,28.71
100028,2026-01-01 10:20:00,M2,Day,OP01,R1,B001,4680-A,3.665,50.75,26.38
100029,2026-01-01 10:25:00,M3,Day,OP11,R2,B001,4680-A,3.664,49.54,28.66
100030,2026-01-01 10:30:00,M7,Day,OP07,R3,B001,4680-B,3.709,45.89,31.19
100031,2026-01-01 10:35:00,M5,Day,OP09,R1,B001,4680-A,3.668,43.61,27.34
100032,2026-01-01 10:40:00,M5,Day,OP11,R2,B001,4680-A,3.688,48.02,28.59
100033,2026-01-01 10:45:00,M5,Day,OP07,R1,B001,4680-B,3.638,46.74,27.53
100034,2026-01-01 10:50:00,M1,Day,OP12,R3,B001,4680-B,3.656,47.52,27.31
100035,2026-01-01 10:55:00,M3,Day,OP09,R1,B001,4680-B,3.737,48.52,28.81
100036,2026-01-01 11:00:00,M4,Day,OP03,R2,B001,4680-A,3.678,42.24,28.52
100037,2026-01-01 11:05:00,M1,Day,OP10,R2,B001,4680-B,3.682,55.39,27.95
100038,2026-01-01 11:10:00,M1,Day,OP02,R2,B001,4680-B,3.689,47.9,27.62
100039,2026-01-01 11:15:00,M4,Day,OP01,R1,B001,4680-A,3.714,50.26,25.66
100040,2026-01-01 11:20:00,M2,Day,OP12,R2,B001,4680-A,3.653,52.21,29.58
100041,2026-01-01 11:25:00,M3,Day,OP03,R3,B001,4680-B,3.698,54.57,25.2
100042,2026-01-01 11:30:00,M3,Day,OP05,R3,B001,4680-B,3.663,48.3,26.02
100043,2026-01-01 11:35:00,M4,Day,OP09,R3,B001,4680-A,3.633,48.21,26.99
100044,2026-01-01 11:40:00,M5,Day,OP07,R3,B001,4680-B,3.694,45.24,25.88
100045,2026-01-01 11:45:00,M8,Day,OP09,R2,B001,4680-A,3.657,47.03,31.1
100046,2026-01-01 11:50:00,M4,Day,OP04,R1,B001,4680-B,3.643,48.68,29.63
100047,2026-01-01 11:55:00,M1,Day,OP10,R3,B001,4680-A,3.632,48.55,30.61
100048,2026-01-01 12:00:00,M4,Day,OP01,R1,B001,4680-A,3.703,44.29,28.52
100049,2026-01-01 12:05:00,M4,Day,OP02,R1,B001,4680-B,3.696,48.89,25.36
100050,2026-01-01 12:10:00,M2,Day,OP09,R1,B001,4680-B,3.69,45.96,28.5
100051,2026-01-01 12:15:00,M8,Day,OP04,R3,B001,4680-A,3.689,45.86,28.46
100052,2026-01-01 12:20:00,M8,Day,OP04,R2,B001,4680-B,3.694,44.43,31.73
100053,2026-01-01 12:25:00,M4,Day,OP02,R1,B001,4680-B,3.651,50.36,29.31
100054,2026-01-01 12:30:00,M6,Day,OP07,R2,B001,4680-B,3.655,50.89,30.32
100055,2026-01-01 12:35:00,M1,Day,OP11,R3,B001,4680-A,3.705,53.69,28.83
100056,2026-01-01 12:40:00,M1,Day,OP07,R3,B001,4680-B,3.657,45.33,27.51
100057,2026-01-01 12:45:00,M2,Day,OP04,R1,B001,4680-A,3.678,49.02,26.37
100058,2026-01-01 12:50:00,M8,Day,OP03,R2,B001,4680-A,3.705,48.04,28.55
100059,2026-01-01 12:55:00,M5,Day,OP08,R1,B001,4680-A,3.672,56.16,30.91
100060,2026-01-01 13:00:00,M8,Day,OP09,R1,B001,4680-A,3.654,44.79,29.25
100061,2026-01-01 13:05:00,M1,Day,OP02,R1,B001,4680-A,3.673,50.14,28.96
100062,2026-01-01 13:10:00,M7,Day,OP08,R2,B001,4680-A,3.678,45.46,31.95
100063,2026-01-01 13:15:00,M7,Day,OP01,R1,B001,4680-B,3.667,50.57,27.97
100064,2026-01-01 13:20:00,M1,Day,OP07,R2,B001,4680-B,3.643,48.52,28.43
100065,2026-01-01 13:25:00,M5,Day,OP07,R3,B001,4680-B,3.653,48.46,28.77
100066,2026-01-01 13:30:00,M3,Day,OP04,R2,B001,4680-A,3.646,49.07,28.12
100067,2026-01-01 13:35:00,M1,Day,OP10,R3,B001,4680-A,3.712,51.16,29.12
100068,2026-01-01 13:40:00,M6,Day,OP01,R1,B001,4680-B,3.652,49.55,25.24
100069,2026-01-01 13:45:00,M3,Day,OP01,R3,B001,4680-A,3.695,59.56,29.03
100070,2026-01-01 13:50:00,M3,Day,OP02,R3,B001,4680-A,3.714,50.86,29.14
100071,2026-01-01 13:55:00,M4,Day,OP07,R1,B001,4680-A,3.671,50.28,29.3
100072,2026-01-01 14:00:00,M1,Day,OP10,R1,B001,4680-B,3.673,46.54,26.45
100073,2026-01-01 14:05:00,M6,Day,OP05,R1,B001,4680-B,3.749,42.4,28.16
100074,2026-01-01 14:10:00,M4,Day,OP05,R2,B001,4680-A,3.632,46.58,29.37
100075,2026-01-01 14:15:00,M5,Day,OP08,R2,B001,4680-A,3.682,44.77,30.18
100076,2026-01-01 14:20:00,M1,Day,OP08,R3,B001,4680-A,3.7,45.81,26.57
100077,2026-01-01 14:25:00,M2,Day,OP09,R1,B001,4680-B,3.681,46.05,28.43
100078,2026-01-01 14:30:00,M3,Day,OP06,R1,B001,4680-A,3.699,41.92,32.29
100079,2026-01-01 14:35:00,M6,Day,OP05,R1,B001,4680-B,3.66,50.56,28.37
100080,2026-01-01 14:40:00,M5,Day,OP10,R3,B001,4680-A,3.677,49.51,26.41
100081,2026-01-01 14:45:00,M5,Day,OP11,R1,B001,4680-A,3.644,47.0,29.73
100082,2026-01-01 14:50:00,M5,Day,OP02,R1,B001,4680-A,3.66,53.3,27.05
100083,2026-01-01 14:55:00,M5,Day,OP05,R3,B001,4680-A,3.642,50.75,28.81
100084,2026-01-01 15:00:00,M6,Day,OP04,R3,B001,4680-B,3.711,43.44,32.24
100085,2026-01-01 15:05:00,M8,Day,OP05,R1,B001,4680-A,3.718,45.88,27.03
100086,2026-01-01 15:10:00,M7,Day,OP05,R1,B001,4680-A,3.703,45.22,31.89
100087,2026-01-01 15:15:00,M6,Day,OP03,R3,B001,4680-B,3.583,44.93,27.88
100088,2026-01-01 15:20:00,M3,Day,OP12,R2,B001,4680-B,3.643,52.9,27.49
100089,2026-01-01 15:25:00,M1,Day,OP02,R1,B001,4680-A,3.667,48.39,25.14
100090,2026-01-01 15:30:00,M1,Day,OP06,R3,B001,4680-A,3.637,51.49,30.88
100091,2026-01-01 15:35:00,M7,Day,OP03,R1,B001,4680-B,3.651,49.39,31.02
100092,2026-01-01 15:40:00,M6,Day,OP01,R2,B001,4680-A,3.662,48.21,28.4
100093,2026-01-01 15:45:00,M4,Day,OP11,R1,B001,4680-B,3.683,49.99,27.23
100094,2026-01-01 15:50:00,M7,Day,OP10,R3,B001,4680-A,3.643,54.4,34.17
100095,2026-01-01 15:55:00,M4,Day,OP03,R1,B001,4680-B,3.675,49.76,24.1
100096,2026-01-01 16:00:00,M1,Day,OP03,R3,B001,4680-B,3.661,47.38,28.56
100097,2026-01-01 16:05:00,M7,Day,OP11,R3,B001,4680-A,3.662,50.55,NaN
100098,2026-01-01 16:10:00,M5,Day,OP03,R3,B001,4680-A,3.659,50.7,28.71
100099,2026-01-01 16:15:00,M7,Day,OP01,R2,B001,4680-A,3.704,49.89,31.61
100100,2026-01-01 16:20:00,M4,Day,OP08,R2,B001,4680-B,3.663,50.24,26.34
100101,2026-01-01 16:25:00,M4,Day,OP04,R1,B001,4680-A,3.679,48.35,29.22
100102,2026-01-01 16:30:00,M7,Day,OP06,R2,B001,4680-A,3.662,49.64,33.56
100103,2026-01-01 16:35:00,M5,Day,OP06,R3,B001,4680-B,3.673,51.3,27.6
100104,2026-01-01 16:40:00,M6,Day,OP01,R1,B001,4680-B,3.704,51.92,29.65
100105,2026-01-01 16:45:00,M3,Day,OP10,R2,B001,4680-A,3.7,47.07,28.04
100106,2026-01-01 16:50:00,M2,Day,OP10,R2,B001,4680-B,3.676,48.29,28.65
100107,2026-01-01 16:55:00,M6,Day,OP07,R3,B001,4680-A,3.655,54.28,29.19
100108,2026-01-01 17:00:00,M7,Day,OP10,R1,B001,4680-B,3.644,51.47,28.99
100109,2026-01-01 17:05:00,M1,Day,OP12,R2,B001,4680-A,3.699,49.89,29.58
100110,2026-01-01 17:10:00,M4,Day,OP06,R2,B001,4680-A,3.653,48.23,27.98
100111,2026-01-01 17:15:00,M6,Day,OP10,R2,B001,4680-A,3.709,47.56,26.65
100112,2026-01-01 17:20:00,M5,Day,OP09,R2,B001,4680-B,3.67,49.24,26.35
100113,2026-01-01 17:25:00,M6,Day,OP07,R3,B001,4680-B,3.655,48.73,26.87
100114,2026-01-01 17:30:00,M3,Day,OP04,R2,B001,4680-B,3.665,46.59,28.49
100115,2026-01-01 17:35:00,M3,Day,OP10,R3,B001,4680-B,3.637,43.78,28.46
100116,2026-01-01 17:40:00,M7,Day,OP09,R1,B001,4680-B,3.674,48.93,29.56
100117,2026-01-01 17:45:00,M5,Day,OP04,R2,B001,4680-B,3.706,47.52,30.95
100118,2026-01-01 17:50:00,M8,Day,OP08,R2,B001,4680-A,3.65,47.94,27.96
100119,2026-01-01 17:55:00,M8,Day,OP12,R1,B001,4680-A,3.69,45.52,27.42
100120,2026-01-01 18:00:00,M5,Night,OP09,R3,B001,4680-B,3.726,47.67,29.04
100121,2026-01-01 18:05:00,M2,Night,OP04,R3,B001,4680-B,3.701,46.8,28.8
100122,2026-01-01 18:10:00,M4,Night,OP04,R1,B001,4680-A,3.68,48.29,28.45
100123,2026-01-01 18:15:00,M1,Night,OP04,R2,B001,4680-A,3.681,49.49,26.45
100124,2026-01-01 18:20:00,M8,Night,OP07,R3,B001,4680-A,3.709,54.46,30.9
100125,2026-01-01 18:25:00,M7,Night,OP08,R2,B001,4680-A,3.706,48.55,29.47
100126,2026-01-01 18:30:00,M3,Night,OP11,R3,B001,4680-A,3.656,45.48,32.38
100127,2026-01-01 18:35:00,M2,Night,OP07,R1,B001,4680-A,3.616,46.42,26.8
100128,2026-01-01 18:40:00,M8,Night,OP01,R3,B001,4680-A,3.685,49.03,26.48
100129,2026-01-01 18:45:00,M2,Night,OP08,R1,B001,4680-B,3.709,46.27,31.75
100130,2026-01-01 18:50:00,M6,Night,OP08,R3,B001,4680-B,3.695,44.04,26.2
100131,2026-01-01 18:55:00,M8,Night,OP03,R3,B001,4680-B,3.715,46.59,31.66
100132,2026-01-01 19:00:00,M8,Night,OP05,R1,B001,4680-B,3.721,47.66,24.57
100133,2026-01-01 19:05:00,M8,Night,OP11,R1,B001,4680-B,3.632,46.2,30.48
100134,2026-01-01 19:10:00,M8,Night,OP02,R3,B001,4680-B,3.681,46.65,28.01
100135,2026-01-01 19:15:00,M4,Night,OP05,R2,B001,4680-B,3.648,47.57,29.25
100136,2026-01-01 19:20:00,M2,Night,OP03,R1,B001,4680-A,3.695,50.13,28.24
100137,2026-01-01 19:25:00,M7,Night,OP12,R1,B001,4680-A,3.634,51.83,28.75
100138,2026-01-01 19:30:00,M2,Night,OP07,R2,B001,4680-B,3.658,52.65,28.66
100139,2026-01-01 19:35:00,M8,Night,OP07,R1,B001,4680-A,3.715,48.2,28.23
100140,2026-01-01 19:40:00,M7,Night,OP07,R3,B001,4680-A,3.733,47.25,35.12
100141,2026-01-01 19:45:00,M7,Night,OP08,R1,B001,4680-B,3.699,52.11,32.94
100142,2026-01-01 19:50:00,M5,Night,OP07,R2,B001,4680-A,3.701,51.18,26.07
100143,2026-01-01 19:55:00,M8,Night,OP04,R2,B001,4680-B,3.645,41.88,24.48
100144,2026-01-01 20:00:00,M8,Night,OP01,R2,B001,4680-B,3.702,52.51,27.46
100145,2026-01-01 20:05:00,M7,Night,OP12,R1,B001,4680-B,3.729,43.86,31.15
100146,2026-01-01 20:10:00,M3,Night,OP10,R3,B001,4680-A,3.678,49.15,24.59
100147,2026-01-01 20:15:00,M7,Night,OP10,R3,B001,4680-A,3.618,47.73,30.93
100148,2026-01-01 20:20:00,M2,Night,OP11,R2,B001,4680-A,3.7,49.1,25.39
100149,2026-01-01 20:25:00,M8,Night,OP03,R1,B001,4680-B,3.665,44.82,26.12
100150,2026-01-01 20:30:00,M7,Night,OP06,R1,B001,4680-B,3.709,45.04,30.87
100151,2026-01-01 20:35:00,M6,Night,OP06,R2,B001,4680-B,3.664,45.62,29.01
100152,2026-01-01 20:40:00,M7,Night,OP05,R1,B001,4680-B,3.649,46.34,30.79
100153,2026-01-01 20:45:00,M1,Night,OP12,R3,B001,4680-A,3.739,48.11,25.6
100154,2026-01-01 20:50:00,M6,Night,OP04,R3,B001,4680-A,3.686,47.66,26.6
100155,2026-01-01 20:55:00,M1,Night,OP01,R1,B001,4680-A,3.698,50.27,27.56
100156,2026-01-01 21:00:00,M1,Night,OP10,R1,B001,4680-A,3.663,47.17,26.94
100157,2026-01-01 21:05:00,M3,Night,OP08,R3,B001,4680-A,3.635,52.1,23.4
100158,2026-01-01 21:10:00,M4,Night,OP08,R3,B001,4680-B,3.673,49.73,31.29
100159,2026-01-01 21:15:00,M6,Night,OP03,R3,B001,4680-A,3.772,51.36,28.62
100160,2026-01-01 21:20:00,M3,Night,OP05,R1,B001,4680-A,3.651,43.18,27.74
100161,2026-01-01 21:25:00,M5,Night,OP10,R3,B001,4680-B,3.657,43.73,28.41
100162,2026-01-01 21:30:00,M7,Night,OP12,R1,B001,4680-A,3.648,53.06,29.71
100163,2026-01-01 21:35:00,M4,Night,OP02,R3,B001,4680-B,3.68,52.44,29.76
100164,2026-01-01 21:40:00,M2,Night,OP10,R1,B001,4680-B,3.654,52.57,28.15
100165,2026-01-01 21:45:00,M7,Night,OP11,R2,B001,4680-A,3.649,47.43,32.08
100166,2026-01-01 21:50:00,M6,Night,OP01,R2,B001,4680-B,3.639,50.78,26.25
100167,2026-01-01 21:55:00,M2,Night,OP07,R2,B001,4680-B,3.638,49.69,31.82
100168,2026-01-01 22:00:00,M3,Night,OP07,R1,B001,4680-B,3.665,46.22,26.7
100169,2026-01-01 22:05:00,M8,Night,OP08,R2,B001,4680-B,3.681,45.51,26.27
100170,2026-01-01 22:10:00,M6,Night,OP04,R1,B001,4680-B,3.678,47.28,28.54
100171,2026-01-01 22:15:00,M8,Night,OP04,R2,B001,4680-B,3.663,50.27,26.18
100172,2026-01-01 22:20:00,M6,Night,OP01,R2,B001,4680-B,3.651,48.3,29.0
100173,2026-01-01 22:25:00,M3,Night,OP08,R1,B001,4680-B,3.63,49.63,29.5
100174,2026-01-01 22:30:00,M5,Night,OP06,R2,B001,4680-B,3.697,45.71,26.67
100175,2026-01-01 22:35:00,M1,Night,OP09,R1,B001,4680-A,3.631,48.14,24.39
100176,2026-01-01 22:40:00,M4,Night,OP12,R2,B001,4680-B,3.653,49.92,28.52
100177,2026-01-01 22:45:00,M4,Night,OP12,R2,B001,4680-B,3.678,44.37,24.68
100178,2026-01-01 22:50:00,M8,Night,OP01,R1,B001,4680-B,3.681,45.42,26.7
100179,2026-01-01 22:55:00,M4,Night,OP07,R3,B001,4680-A,3.71,46.27,27.23
100180,2026-01-01 23:00:00,M5,Night,OP11,R3,B001,4680-B,3.646,49.59,29.67
100181,2026-01-01 23:05:00,M8,Night,OP09,R3,B001,4680-B,3.606,45.61,30.88
100182,2026-01-01 23:10:00,M7,Night,OP12,R3,B001,4680-B,3.674,49.11,32.15
100183,2026-01-01 23:15:00,M6,Night,OP12,R2,B001,4680-B,3.683,47.53,26.79
100184,2026-01-01 23:20:00,M5,Night,OP05,R1,B001,4680-A,3.688,49.01,30.34
100185,2026-01-01 23:25:00,M4,Night,OP06,R1,B001,4680-A,3.665,46.7,27.18
100186,2026-01-01 23:30:00,M4,Night,OP04,R3,B001,4680-B,3.667,48.87,28.79
100187,2026-01-01 23:35:00,M5,Night,OP12,R3,B001,4680-B,3.706,47.02,32.15
100188,2026-01-01 23:40:00,M2,Night,OP04,R2,B001,4680-A,3.668,41.89,30.4
100189,2026-01-01 23:45:00,M6,Night,OP03,R2,B001,4680-A,3.624,46.95,25.98
100190,2026-01-01 23:50:00,M3,Night,OP05,R1,B001,4680-A,3.73,48.98,28.04
100191,2026-01-01 23:55:00,M5,Night,OP12,R1,B001,4680-B,3.705,41.37,27.56
100192,2026-01-02 00:00:00,M2,Night,OP01,R3,B001,4680-B,3.703,43.56,28.47
100193,2026-01-02 00:05:00,M8,Night,OP08,R2,B001,4680-B,3.69,46.75,30.29
100194,2026-01-02 00:10:00,M3,Night,OP01,R2,B001,4680-B,3.748,48.55,29.27
100195,2026-01-02 00:15:00,M2,Night,OP02,R2,B001,4680-B,3.666,45.45,28.5
100196,2026-01-02 00:20:00,M2,Night,OP10,R3,B001,4680-A,3.654,48.21,29.66
100197,2026-01-02 00:25:00,M3,Night,OP03,R3,B001,4680-B,3.694,49.0,27.04
100198,2026-01-02 00:30:00,M2,Night,OP04,R1,B001,4680-B,3.665,47.19,30.08
100199,2026-01-02 00:35:00,M4,Night,OP09,R2,B001,4680-B,3.667,49.13,26.04
100200,2026-01-02 00:40:00,M8,Night,OP05,R3,B001,4680-B,3.652,50.61,29.51
100201,2026-01-02 00:45:00,M5,Night,OP10,R3,B001,4680-A,3.692,53.63,30.71
100202,2026-01-02 00:50:00,M2,Night,OP04,R3,B001,4680-A,3.643,42.66,26.45
100203,2026-01-02 00:55:00,M5,Night,OP11,R1,B001,4680-A,3.7,47.83,30.99
100204,2026-01-02 01:00:00,M4,Night,OP03,R3,B001,4680-A,3.646,55.34,28.56
100205,2026-01-02 01:05:00,M3,Night,OP01,R2,B001,4680-B,3.683,50.18,28.26
100206,2026-01-02 01:10:00,M8,Night,OP05,R1,B001,4680-A,3.687,45.63,28.96
100207,2026-01-02 01:15:00,M5,Night,OP12,R2,B001,4680-B,3.736,52.04,28.94
100208,2026-01-02 01:20:00,M2,Night,OP11,R1,B001,4680-B,3.665,45.03,31.19
100209,2026-01-02 01:25:00,M4,Night,OP07,R1,B001,4680-A,3.682,51.28,27.75
100210,2026-01-02 01:30:00,M3,Night,OP05,R1,B001,4680-A,3.726,47.53,24.62
100211,2026-01-02 01:35:00,M1,Night,OP03,R2,B001,4680-B,3.65,43.04,27.15
100212,2026-01-02 01:40:00,M8,Night,OP02,R2,B001,4680-B,3.682,44.13,29.65
100213,2026-01-02 01:45:00,M7,Night,OP05,R3,B001,4680-B,3.67,53.01,28.41
100214,2026-01-02 01:50:00,M8,Night,OP02,R3,B001,4680-A,3.635,47.26,27.48
100215,2026-01-02 01:55:00,M7,Night,OP12,R2,B001,4680-B,3.599,47.84,30.45
100216,2026-01-02 02:00:00,M1,Night,OP02,R1,B001,4680-A,3.701,53.55,27.54
100217,2026-01-02 02:05:00,M5,Night,OP10,R1,B001,4680-A,3.672,44.68,30.25
100218,2026-01-02 02:10:00,M8,Night,OP09,R3,B001,4680-B,3.682,48.04,33.15
100219,2026-01-02 02:15:00,M5,Night,OP03,R3,B001,4680-B,3.686,47.57,27.95
100220,2026-01-02 02:20:00,M8,Night,OP02,R2,B001,4680-B,3.664,47.9,26.85
100221,2026-01-02 02:25:00,M7,Night,OP06,R2,B001,4680-A,3.659,48.32,29.91
100222,2026-01-02 02:30:00,M3,Night,OP06,R2,B001,4680-B,3.725,40.05,27.49
100223,2026-01-02 02:35:00,M5,Night,OP11,R2,B001,4680-A,3.717,41.78,30.18
100224,2026-01-02 02:40:00,M8,Night,OP02,R2,B001,4680-B,3.669,43.78,27.31
100225,2026-01-02 02:45:00,M6,Night,OP02,R2,B001,4680-A,3.647,53.26,26.44
100226,2026-01-02 02:50:00,M8,Night,OP07,R1,B001,4680-A,3.718,50.17,29.87
100227,2026-01-02 02:55:00,M6,Night,OP10,R2,B001,4680-B,3.664,49.47,25.74
100228,2026-01-02 03:00:00,M1,Night,OP04,R2,B001,4680-A,3.701,47.28,25.56
100229,2026-01-02 03:05:00,M5,Night,OP08,R3,B001,4680-B,3.701,49.33,27.25
100230,2026-01-02 03:10:00,M2,Night,OP01,R3,B001,4680-A,3.715,44.76,27.28
100231,2026-01-02 03:15:00,M3,Night,OP05,R3,B001,4680-A,3.698,47.07,29.23
100232,2026-01-02 03:20:00,M7,Night,OP02,R1,B001,4680-A,3.642,50.77,31.65
100233,2026-01-02 03:25:00,M8,Night,OP02,R3,B001,4680-A,3.664,51.15,27.63
100234,2026-01-02 03:30:00,M8,Night,OP12,R2,B001,4680-B,3.638,43.33,26.59
100235,2026-01-02 03:35:00,M7,Night,OP08,R2,B001,4680-A,3.642,53.26,32.21
100236,2026-01-02 03:40:00,M8,Night,OP09,R1,B001,4680-B,3.731,48.63,23.84
100237,2026-01-02 03:45:00,M4,Night,OP10,R3,B001,4680-A,3.664,49.2,27.81
100238,2026-01-02 03:50:00,M2,Night,OP05,R2,B001,4680-B,3.713,48.34,27.92
100239,2026-01-02 03:55:00,M5,Night,OP01,R2,B001,4680-B,3.669,47.83,28.3
100240,2026-01-02 04:00:00,M8,Night,OP03,R2,B001,4680-B,3.629,43.96,28.62
100241,2026-01-02 04:05:00,M6,Night,OP06,R3,B001,4680-B,3.685,47.45,29.49
100242,2026-01-02 04:10:00,M8,Night,OP06,R1,B001,4680-A,3.69,46.38,28.04
100243,2026-01-02 04:15:00,M7,Night,OP04,R2,B001,4680-A,3.686,45.06,29.44
100244,2026-01-02 04:20:00,M6,Night,OP12,R2,B001,4680-B,3.629,51.09,28.82
100245,2026-01-02 04:25:00,M7,Night,OP11,R3,B001,4680-A,3.688,50.95,31.95
100246,2026-01-02 04:30:00,M8,Night,OP01,R1,B001,4680-B,3.71,42.48,31.33
100247,2026-01-02 04:35:00,M2,Night,OP08,R1,B001,4680-B,3.661,48.08,25.44
100248,2026-01-02 04:40:00,M1,Night,OP12,R1,B001,4680-B,3.658,48.56,29.04
100249,2026-01-02 04:45:00,M3,Night,OP02,R2,B001,4680-B,3.662,43.78,26.49
100250,2026-01-02 04:50:00,M6,Night,OP10,R3,B001,4680-B,3.639,45.07,26.15
100251,2026-01-02 04:55:00,M2,Night,OP06,R3,B001,4680-B,3.652,55.9,30.11
100252,2026-01-02 05:00:00,M6,Night,OP11,R3,B001,4680-B,3.686,45.42,28.99
100253,2026-01-02 05:05:00,M1,Night,OP10,R1,B001,4680-A,3.663,48.37,29.4
100254,2026-01-02 05:10:00,M5,Night,OP04,R3,B001,4680-A,3.677,51.45,33.12
100255,2026-01-02 05:15:00,M7,Night,OP02,R3,B001,4680-A,3.679,53.31,29.59
100256,2026-01-02 05:20:00,M8,Night,OP03,R3,B001,4680-B,3.734,50.12,26.75
100257,2026-01-02 05:25:00,M1,Night,OP01,R2,B001,4680-A,3.699,50.92,26.88
100258,2026-01-02 05:30:00,M5,Night,OP06,R2,B001,4680-B,3.633,45.82,29.24
100259,2026-01-02 05:35:00,M3,Night,OP04,R3,B001,4680-B,3.678,49.86,27.5
100260,2026-01-02 05:40:00,M3,Night,OP03,R1,B001,4680-A,3.64,49.14,28.36
100261,2026-01-02 05:45:00,M7,Night,OP10,R3,B001,4680-A,3.697,51.24,32.22
100262,2026-01-02 05:50:00,M8,Night,OP10,R1,B001,4680-A,3.694,47.79,29.67
100263,2026-01-02 05:55:00,M8,Night,OP11,R2,B001,4680-B,3.693,48.62,24.68
100264,2026-01-02 06:00:00,M5,Day,OP11,R1,B001,4680-B,3.642,44.76,28.54
100265,2026-01-02 06:05:00,M5,Day,OP11,R3,B001,4680-A,3.679,50.04,30.11
100266,2026-01-02 06:10:00,M2,Day,OP08,R2,B001,4680-B,3.681,50.81,28.06
100267,2026-01-02 06:15:00,M7,Day,OP12,R2,B001,4680-B,3.683,46.61,29.97
100268,2026-01-02 06:20:00,M5,Day,OP04,R2,B001,4680-B,3.671,48.67,27.13
100269,2026-01-02 06:25:00,M2,Day,OP04,R2,B001,4680-B,3.718,45.32,27.04
100270,2026-01-02 06:30:00,M5,Day,OP12,R2,B001,4680-A,3.667,52.34,27.63
100271,2026-01-02 06:35:00,M7,Day,OP05,R1,B001,4680-A,3.711,43.54,31.39
100272,2026-01-02 06:40:00,M8,Day,OP05,R1,B001,4680-B,3.707,48.25,28.53
100273,2026-01-02 06:45:00,M4,Day,OP11,R1,B001,4680-B,3.664,52.23,30.13
100274,2026-01-02 06:50:00,M3,Day,OP11,R1,B001,4680-A,3.669,46.66,32.6
100275,2026-01-02 06:55:00,M5,Day,OP08,R1,B001,4680-B,3.727,46.43,30.91
100276,2026-01-02 07:00:00,M3,Day,OP02,R2,B001,4680-B,3.672,43.97,27.16
100277,2026-01-02 07:05:00,M7,Day,OP03,R1,B001,4680-A,3.65,45.7,29.16
100278,2026-01-02 07:10:00,M6,Day,OP09,R3,B001,4680-B,3.687,52.65,27.93
100279,2026-01-02 07:15:00,M3,Day,OP05,R2,B001,4680-B,3.71,47.36,26.0
100280,2026-01-02 07:20:00,M6,Day,OP02,R2,B001,4680-A,3.7,44.63,27.9
100281,2026-01-02 07:25:00,M3,Day,OP04,R3,B001,4680-B,3.685,49.48,28.76
100282,2026-01-02 07:30:00,M6,Day,OP02,R2,B001,4680-A,3.754,46.09,28.58
