Cell_ID,Machine,OCV,DCIR,Capacity,Final_Result,Defect_Type
100053,M4,3.646,19.28,27.21,PASS,None
100054,M6,3.655,18.51,27.71,PASS,None
100055,M1,3.703,20.25,27.57,PASS,None
100056,M1,3.652,18.11,27.83,PASS,None
100057,M2,3.68,19.54,27.5,PASS,None
100058,M8,3.702,21.96,27.28,PASS,None
100059,M5,3.675,18.9,27.45,PASS,None
100060,M8,3.649,18.07,27.12,PASS,None
100061,M1,3.682,19.08,27.22,PASS,None
100062,M7,3.674,17.45,27.74,PASS,None
100063,M7,3.668,21.58,27.72,PASS,None
100064,M1,3.647,18.27,27.59,PASS,None
100065,M5,3.65,17.59,27.07,PASS,None
100066,M3,3.65,16.75,27.41,PASS,None
100067,M1,3.706,19.65,27.19,PASS,None
100068,M6,3.659,19.3,27.79,PASS,None
100069,M3,3.695,17.25,27.35,PASS,None
100070,M3,3.711,18.86,27.23,PASS,None
100071,M4,3.67,15.74,27.51,PASS,None
100072,M1,3.677,18.28,27.34,PASS,None
100073,M6,3.746,18.68,27.87,PASS,None
100074,M4,3.628,20.56,27.32,PASS,None
100075,M5,3.681,16.84,27.15,PASS,None
100076,M1,3.694,16.08,26.96,PASS,None
100077,M2,3.69,16.66,27.49,PASS,None
100078,M3,3.696,16.0,27.36,PASS,None
100079,M6,3.664,20.0,27.14,PASS,None
100080,M5,3.678,20.32,27.8,PASS,None
100081,M5,3.639,18.48,27.67,PASS,None
100082,M5,3.66,19.83,27.49,PASS,None
100083,M5,3.646,18.2,27.84,PASS,None
100084,M6,3.71,17.86,27.67,PASS,None
100085,M8,3.724,17.5,27.29,PASS,None
100086,M7,3.708,17.53,27.24,PASS,None
100087,M6,3.588,15.68,27.7,PASS,None
100088,M3,3.641,18.4,27.6,PASS,None
100089,M1,3.662,17.94,27.54,PASS,None
100090,M1,3.634,19.12,27.29,PASS,None
100091,M7,3.652,18.14,27.65,PASS,None
100092,M6,3.665,17.76,27.31,PASS,None
100093,M4,3.672,16.69,27.47,PASS,None
100094,M7,3.643,18.11,27.86,PASS,None
100095,M4,3.676,19.11,27.33,PASS,None
100096,M1,3.66,16.28,27.11,PASS,None
100097,M7,3.668,18.13,27.24,PASS,None
100098,M5,3.661,18.35,27.75,PASS,None
100099,M7,3.711,16.92,27.56,PASS,None
100100,M4,3.662,17.12,27.47,PASS,None
100101,M4,3.684,18.35,27.37,PASS,None
100102,M7,3.67,16.3,27.62,PASS,None
100103,M5,3.68,18.52,27.29,PASS,None
100104,M6,3.699,16.66,27.58,PASS,None
100105,M3,3.699,19.59,27.32,PASS,None
100106,M2,3.674,21.51,27.28,PASS,None
100107,M6,3.657,16.71,27.34,PASS,None
100108,M7,3.647,18.8,27.41,PASS,None
100109,M1,3.695,16.91,27.49,PASS,None
100110,M4,3.653,19.56,27.56,PASS,None
100111,M6,3.699,16.1,26.58,PASS,None
100112,M5,3.677,18.72,27.3,PASS,None
100113,M6,3.652,16.69,27.4,PASS,None
100114,M3,3.665,17.69,27.88,PASS,None
100115,M3,3.635,16.45,27.23,PASS,None
100116,M7,3.68,19.23,27.54,PASS,None
100117,M5,3.692,16.74,27.87,PASS,None
100118,M8,3.65,18.83,27.17,PASS,None
100119,M8,3.689,17.48,27.6,PASS,None
100120,M5,3.724,17.83,27.3,PASS,None
100121,M2,3.71,18.22,27.37,PASS,None
100122,M4,3.676,16.86,27.3,PASS,None
100123,M1,3.685,18.32,27.32,PASS,None
100124,M8,3.711,20.3,28.18,PASS,None
100125,M7,3.712,16.83,27.71,PASS,None
100126,M3,3.653,19.76,27.78,PASS,None
100127,M2,3.612,20.25,27.62,PASS,None
100128,M8,3.69,16.78,27.1,PASS,None
100129,M2,3.711,15.82,27.6,PASS,None
100130,M6,3.687,18.45,27.77,PASS,None
100131,M8,3.712,17.18,27.29,PASS,None
100132,M8,3.723,20.8,27.74,PASS,None
100133,M8,3.636,18.05,27.68,PASS,None
100134,M8,3.678,16.8,27.96,PASS,None
100135,M4,3.633,16.28,27.4,PASS,None
100136,M2,3.698,19.63,27.23,PASS,None
100137,M7,3.628,17.14,27.41,PASS,None
100138,M2,3.648,18.07,27.86,PASS,None
100139,M8,3.701,19.43,27.04,PASS,None
100140,M7,3.737,17.27,26.98,PASS,None
100141,M7,3.7,17.93,27.52,PASS,None
100142,M5,3.7,17.98,27.39,PASS,None
100143,M8,3.652,19.02,27.5,PASS,None
100144,M8,3.705,18.89,27.74,PASS,None
100145,M7,3.737,17.67,27.36,PASS,None
100146,M3,3.671,18.1,27.03,PASS,None
100147,M7,3.618,17.44,28.01,PASS,None
100148,M2,3.692,15.78,27.25,PASS,None
100149,M8,3.664,18.39,27.24,PASS,None
100150,M7,3.708,20.84,27.78,PASS,None
100151,M6,3.667,16.67,27.4,PASS,None
100152,M7,3.649,16.84,27.48,PASS,None
100153,M1,3.742,16.69,27.62,PASS,None
100154,M6,3.69,19.09,27.77,PASS,None
100155,M1,3.709,18.67,27.42,PASS,None
100156,M1,3.661,17.76,27.88,PASS,None
100157,M3,3.63,16.62,26.97,PASS,None
100158,M4,3.674,18.14,27.69,PASS,None
100159,M6,3.768,15.65,27.29,PASS,None
100160,M3,3.658,18.22,27.84,PASS,None
100161,M5,3.656,19.31,27.54,PASS,None
100162,M7,3.645,16.12,27.33,PASS,None
100163,M4,3.678,15.7,27.67,PASS,None
100164,M2,3.658,20.37,27.72,PASS,None
100165,M7,3.648,17.08,27.66,PASS,None
100166,M6,3.636,19.7,27.24,PASS,None
100167,M2,3.646,17.77,27.38,PASS,None
100168,M3,3.661,17.76,27.5,PASS,None
100169,M8,3.681,18.66,27.49,PASS,None
100170,M6,3.681,16.67,27.69,PASS,None
100171,M8,3.655,18.2,27.0,PASS,None
100172,M6,3.653,17.43,27.58,PASS,None
100173,M3,3.625,16.02,27.43,PASS,None
100174,M5,3.701,18.51,27.29,PASS,None
100175,M1,3.626,17.61,27.31,PASS,None
100176,M4,3.656,17.76,27.45,PASS,None
100177,M4,3.684,16.18,26.6,PASS,None
100178,M8,3.685,20.39,27.32,PASS,None
100179,M4,3.711,19.32,27.28,PASS,None
100180,M5,3.645,19.45,27.63,PASS,None
100181,M8,3.603,17.54,27.3,PASS,None
100182,M7,3.681,15.41,27.45,PASS,None
100183,M6,3.68,20.93,27.89,PASS,None
100184,M5,3.683,17.91,27.75,PASS,None
100185,M4,3.668,16.88,27.73,PASS,None
100186,M4,3.663,18.63,27.38,PASS,None
100187,M5,3.701,19.75,27.64,PASS,None
100188,M2,3.661,17.97,27.44,PASS,None
100189,M6,3.622,19.92,27.45,PASS,None
100190,M3,3.73,19.62,27.6,PASS,None
100191,M5,3.706,16.39,27.35,PASS,None
100192,M2,3.708,16.99,27.87,PASS,None
100193,M8,3.693,19.44,27.46,PASS,None
100194,M3,3.747,13.93,27.65,PASS,None
100195,M2,3.665,17.78,27.86,PASS,None
100196,M2,3.657,15.85,27.76,PASS,None
100197,M3,3.7,17.29,27.15,PASS,None
100198,M2,3.666,17.55,27.61,PASS,None
100199,M4,3.665,17.46,27.71,PASS,None
100200,M8,3.647,17.17,27.72,PASS,None
100201,M5,3.685,16.35,27.22,PASS,None
100202,M2,3.646,21.44,27.34,PASS,None
100203,M5,3.703,20.8,27.75,PASS,None
100204,M4,3.649,16.26,27.31,PASS,None
100205,M3,3.682,20.37,27.43,PASS,None
100206,M8,3.694,17.4,27.89,PASS,None
100207,M5,3.734,18.19,27.49,PASS,None
100208,M2,3.67,17.91,27.32,PASS,None
100209,M4,3.682,17.01,27.28,PASS,None
100210,M3,3.723,19.48,27.58,PASS,None
100211,M1,3.653,18.19,27.17,PASS,None
100212,M8,3.684,17.29,27.44,PASS,None
100213,M7,3.672,16.04,27.58,PASS,None
100214,M8,3.635,16.66,27.82,PASS,None
100215,M7,3.599,15.54,27.67,PASS,None
100216,M1,3.713,18.02,27.32,PASS,None
100217,M5,3.678,16.21,27.79,PASS,None
100218,M8,3.686,17.6,27.43,PASS,None
100219,M5,3.687,20.06,27.19,PASS,None
100220,M8,3.669,19.8,27.46,PASS,None
100221,M7,3.662,17.95,27.86,PASS,None
100222,M3,3.725,17.87,27.54,PASS,None
100223,M5,3.715,20.82,27.5,PASS,None
100224,M8,3.669,18.78,27.91,PASS,None
100225,M6,3.631,17.51,27.14,PASS,None
100226,M8,3.719,15.86,27.18,PASS,None
100227,M6,3.662,18.59,27.1,PASS,None
100228,M1,3.709,19.24,27.59,PASS,None
100229,M5,3.701,17.05,27.54,PASS,None
100230,M2,3.709,18.44,27.89,PASS,None
100231,M3,3.698,17.45,27.56,PASS,None
100232,M7,3.637,17.72,27.4,PASS,None
100233,M8,3.666,14.27,27.5,PASS,None
100234,M8,3.639,17.67,27.53,PASS,None
100235,M7,3.647,19.45,27.08,PASS,None
100236,M8,3.727,17.05,28.18,PASS,None
100237,M4,3.664,18.08,27.63,PASS,None
100238,M2,3.706,16.87,27.55,PASS,None
100239,M5,3.673,18.54,27.65,PASS,None
100240,M8,3.632,17.68,27.68,PASS,None
100241,M6,3.687,16.59,27.46,PASS,None
100242,M8,3.69,20.0,27.34,PASS,None
100243,M7,3.688,19.39,27.65,PASS,None
100244,M6,3.637,17.09,27.6,PASS,None
100245,M7,3.687,18.75,27.3,PASS,None
100246,M8,3.711,18.81,27.85,PASS,None
100247,M2,3.656,18.96,27.57,PASS,None
100248,M1,3.654,15.46,27.68,PASS,None
100249,M3,3.662,19.51,27.85,PASS,None
100250,M6,3.645,17.15,27.51,PASS,None
100251,M2,3.651,17.46,27.58,PASS,None
100252,M6,3.685,21.96,27.7,PASS,None
100253,M1,3.661,18.45,27.32,PASS,None
100254,M5,3.674,17.42,27.51,PASS,None
100255,M7,3.68,14.69,27.53,PASS,None
100256,M8,3.727,20.08,27.26,PASS,None
100257,M1,3.705,15.98,28.08,PASS,None
100258,M5,3.63,16.49,27.15,PASS,None
100259,M3,3.682,17.5,27.18,PASS,None
100260,M3,3.634,20.12,27.83,PASS,None
100261,M7,3.7,19.16,27.68,PASS,None
100262,M8,3.697,17.76,27.24,PASS,None
100263,M8,3.695,18.46,27.65,PASS,None
100264,M5,3.637,17.1,27.87,PASS,None
100265,M5,3.68,18.21,27.49,PASS,None
100266,M2,3.675,18.11,28.15,PASS,None
100267,M7,3.682,19.45,27.07,PASS,None
100268,M5,3.676,19.45,27.67,PASS,None
100269,M2,3.722,18.74,27.79,PASS,None
100270,M5,3.667,17.46,27.72,PASS,None
100271,M7,3.706,19.11,27.45,PASS,None
100272,M8,3.71,17.86,27.43,PASS,None
100273,M4,3.664,16.38,27.61,PASS,None
100274,M3,3.657,17.4,27.7,PASS,None
100275,M5,3.731,18.13,27.65,PASS,None
100276,M3,3.672,19.37,27.76,PASS,None
100277,M7,3.656,17.72,27.25,PASS,None
100278,M6,3.682,16.19,27.44,PASS,None
100279,M3,3.694,18.09,27.26,PASS,None
100280,M6,3.701,18.17,27.4,PASS,None
100281,M3,3.686,18.28,27.75,PASS,None
100282,M6,3.746,19.38,27.53,PASS,None
100283,M5,3.656,19.53,28.15,PASS,None
100284,M6,3.73,17.11,27.55,PASS,None
100285,M7,3.653,17.08,27.51,PASS,None
100286,M4,3.703,16.44,27.53,PASS,None
100287,M4,3.723,19.05,27.34,PASS,None
100288,M5,3.658,20.17,27.49,PASS,None
100289,M3,3.699,17.53,27.78,PASS,None
100290,M8,3.655,17.64,27.53,PASS,None
100291,M3,3.677,20.2,27.3,PASS,None
100292,M7,3.686,18.76,27.27,PASS,None
100293,M7,3.757,18.65,27.39,PASS,None
100294,M7,3.71,16.21,27.52,PASS,None
100295,M4,3.692,19.02,27.8,PASS,None
100296,M6,3.715,16.61,27.16,PASS,None
100297,M6,3.702,16.3,27.42,PASS,None
100298,M4,3.689,17.48,27.54,PASS,None
100299,M4,3.72,17.12,27.04,PASS,None
100300,M1,3.671,17.67,27.29,PASS,None
100301,M4,3.686,15.84,27.33,PASS,None
100302,M4,3.695,19.44,27.3,PASS,None
100303,M1,3.667,19.69,27.55,PASS,None
100304,M5,3.726,15.08,27.46,PASS,None
100305,M3,3.69,19.47,27.36,PASS,None
100306,M6,3.682,16.78,27.61,PASS,None
100307,M1,3.687,19.29,27.93,PASS,None
100308,M2,3.641,17.9,27.91,PASS,None
100309,M8,3.725,18.04,27.02,PASS,None
100310,M8,3.74,17.72,27.64,PASS,None
100311,M5,3.683,19.82,27.46,PASS,None
100312,M1,3.704,16.14,27.54,PASS,None
100313,M2,3.638,18.91,27.4,PASS,None
100314,M2,3.679,19.65,27.53,PASS,None
100315,M2,3.633,19.07,27.54,PASS,None
100316,M7,3.694,21.49,27.36,PASS,None
100317,M8,3.638,17.21,27.28,PASS,None
100318,M2,3.717,19.44,27.39,PASS,None
100319,M7,3.696,17.84,27.56,PASS,None
100320,M6,3.719,19.85,27.65,PASS,None
100321,M2,3.676,17.99,27.71,PASS,None
100322,M5,3.73,17.42,27.38,PASS,None
100323,M2,3.684,19.96,27.57,PASS,None
100324,M7,3.66,17.26,27.74,PASS,None
100325,M3,3.667,15.88,27.79,PASS,None
100326,M2,3.703,17.22,27.49,PASS,None
100327,M1,3.655,18.93,27.44,PASS,None
100328,M6,3.65,20.09,27.55,PASS,None
100329,M3,3.668,18.17,27.21,PASS,None
100330,M2,3.623,19.98,27.45,PASS,None
100331,M2,3.644,15.96,27.69,PASS,None
100332,M7,3.702,17.34,27.66,PASS,None
100333,M5,3.725,17.57,27.43,PASS,None
100334,M5,3.651,17.83,27.55,PASS,None
100335,M3,3.707,18.13,27.29,PASS,None
100336,M2,3.662,19.04,27.68,PASS,None
100337,M2,3.738,17.33,27.48,PASS,None
100338,M7,3.693,18.21,27.43,PASS,None
100339,M3,3.667,17.93,27.41,PASS,None
100340,M2,3.659,16.61,27.48,PASS,None
100341,M1,3.732,17.83,27.39,PASS,None
100342,M8,3.687,17.78,27.66,PASS,None
100343,M8,3.671,17.75,27.4,PASS,None
100344,M2,3.705,18.05,27.9,PASS,None
100345,M5,3.646,18.11,27.87,PASS,None
100346,M5,3.7,17.35,27.28,PASS,None
100347,M1,3.709,19.91,27.52,PASS,None
100348,M4,3.704,16.25,27.34,PASS,None
100349,M6,3.726,16.92,27.42,PASS,None
100350,M7,3.679,22.17,28.0,PASS,None
100351,M4,3.676,16.44,27.42,PASS,None
100352,M2,3.718,15.97,27.59,PASS,None
100353,M7,3.704,19.1,27.64,PASS,None
100354,M6,3.634,14.88,27.25,PASS,None
100355,M7,3.653,17.65,27.29,PASS,None
100356,M1,3.694,21.22,27.2,PASS,None
100357,M6,3.687,15.68,27.28,PASS,None
100358,M4,3.666,15.03,26.79,PASS,None
100359,M2,3.724,15.75,27.64,PASS,None
100360,M4,3.668,19.35,28.01,PASS,None
100361,M2,3.687,19.69,27.54,PASS,None
100362,M6,3.684,17.23,27.15,PASS,None
100363,M4,3.671,19.02,27.34,PASS,None
100364,M4,3.682,20.09,27.39,PASS,None
100365,M2,3.674,20.68,27.25,PASS,None
100366,M8,3.691,17.63,27.72,PASS,None
100367,M6,3.743,14.55,27.7,PASS,None
100368,M8,3.65,16.77,27.21,PASS,None
100369,M5,3.658,17.36,27.68,PASS,None
100370,M6,3.702,17.61,27.88,PASS,None
100371,M8,3.692,17.72,27.98,PASS,None
100372,M6,3.672,19.68,28.22,PASS,None
100373,M7,3.714,19.91,27.27,PASS,None
100374,M8,3.643,17.74,28.21,PASS,None
100375,M6,3.684,19.65,27.41,PASS,None
100376,M1,3.683,18.54,27.35,PASS,None
100377,M2,3.73,18.1,27.58,PASS,None
100378,M1,3.706,19.36,27.35,PASS,None
100379,M8,3.703,18.11,27.6,PASS,None
100380,M6,3.726,21.09,27.17,PASS,None
100381,M7,3.682,15.84,27.44,PASS,None
100382,M6,3.633,17.23,27.82,PASS,None
100383,M7,3.652,17.81,27.49,PASS,None
100384,M6,3.643,18.66,27.54,PASS,None
100385,M6,3.657,19.9,27.62,PASS,None
100386,M3,3.666,17.96,27.79,PASS,None
100387,M5,3.646,15.87,27.09,PASS,None
100388,M3,3.754,19.26,27.65,PASS,None
100389,M7,3.701,19.13,27.43,PASS,None
100390,M6,3.684,15.09,27.54,PASS,None
100391,M6,3.651,17.99,27.76,PASS,None
100392,M3,3.674,15.61,27.2,PASS,None
100393,M2,3.684,17.0,27.25,PASS,None
100394,M6,3.628,16.65,27.02,PASS,None
100395,M3,3.651,19.21,27.36,PASS,None
100396,M8,3.643,18.18,27.83,PASS,None
100397,M4,3.656,16.07,27.47,PASS,None
100398,M8,3.696,19.32,27.16,PASS,None
100399,M5,3.69,15.85,27.38,PASS,None
100400,M8,3.665,18.5,27.13,PASS,None
100401,M7,3.676,16.78,27.22,PASS,None
100402,M5,3.655,17.45,27.6,PASS,None
100403,M6,3.641,18.76,27.21,PASS,None
100404,M5,3.71,18.78,27.78,PASS,None
100405,M8,3.665,20.01,27.48,PASS,None
100406,M2,3.742,17.88,27.52,PASS,None
100407,M1,3.693,18.46,27.43,PASS,None
100408,M6,3.677,17.34,27.69,PASS,None
100409,M6,3.705,18.27,27.7,PASS,None
100410,M2,3.636,18.66,27.58,PASS,None
100411,M3,3.663,17.85,27.64,PASS,None
100412,M8,3.667,15.29,27.45,PASS,None
100413,M8,3.67,18.5,27.64,PASS,None
100414,M1,3.644,18.55,27.42,PASS,None
100415,M7,3.682,16.98,27.5,PASS,None
100416,M5,3.638,16.07,27.43,PASS,None
100417,M7,3.618,20.21,27.39,PASS,None
100418,M2,3.651,18.74,27.33,PASS,None
100419,M4,3.665,17.66,27.62,PASS,None
100420,M7,3.69,16.29,27.83,PASS,None
100421,M4,3.687,16.77,27.79,PASS,None
100422,M2,3.656,19.95,27.19,PASS,None
100423,M1,3.72,18.21,27.82,PASS,None
100424,M7,3.673,17.17,27.42,PASS,None
100425,M6,3.747,18.76,27.65,PASS,None
100426,M2,3.669,16.78,27.27,PASS,None
100427,M3,3.702,20.25,27.54,PASS,None
100428,M3,3.634,20.03,27.58,PASS,None
100429,M3,3.646,17.3,27.13,PASS,None
100430,M1,3.76,17.06,27.65,PASS,None
100431,M4,3.671,14.07,27.84,PASS,None
100432,M7,3.679,15.78,27.46,PASS,None
100433,M1,3.666,15.99,27.84,PASS,None
100434,M6,3.655,18.2,27.45,PASS,None
100435,M5,3.684,17.51,27.71,PASS,None
100436,M7,3.694,15.98,26.95,PASS,None
100437,M6,3.728,17.58,28.1,PASS,None
100438,M6,3.646,18.76,27.87,PASS,None
100439,M7,3.655,18.79,27.43,PASS,None
100440,M5,3.699,15.15,27.01,PASS,None
100441,M6,3.681,17.81,27.57,PASS,None
100442,M8,3.676,15.92,27.14,PASS,None
100443,M3,3.722,19.35,27.61,PASS,None
100444,M8,3.734,19.18,27.6,PASS,None
100445,M7,3.667,16.65,27.26,PASS,None
100446,M2,3.681,16.85,27.78,PASS,None
100447,M6,3.686,17.31,27.7,PASS,None
100448,M1,3.633,14.62,27.74,PASS,None
100449,M1,3.641,18.5,27.5,PASS,None
100450,M6,3.627,17.59,27.15,PASS,None
100451,M3,3.669,19.46,27.74,PASS,None
100452,M6,3.696,16.35,27.43,PASS,None
100453,M6,3.685,17.07,27.15,PASS,None
100454,M4,3.653,15.74,27.84,PASS,None
100455,M8,3.672,16.49,28.02,PASS,None
100456,M5,3.652,16.23,27.49,PASS,None
100457,M4,3.644,19.49,28.04,PASS,None
100458,M4,3.674,16.95,27.52,PASS,None
100459,M8,3.665,18.19,27.4,PASS,None
100460,M2,3.663,17.43,27.34,PASS,None
100461,M2,3.697,16.1,27.91,PASS,None
100462,M5,3.726,17.75,27.3,PASS,None
100463,M6,3.696,18.9,27.68,PASS,None
100464,M4,3.681,16.19,27.36,PASS,None
100465,M1,3.639,19.21,27.38,PASS,None
100466,M8,3.655,16.73,27.76,PASS,None
100467,M2,3.722,17.28,27.4,PASS,None
100468,M7,3.656,18.8,27.4,PASS,None
100469,M3,3.677,17.0,27.78,PASS,None
100470,M8,3.705,18.06,27.9,PASS,None
100471,M3,3.661,17.53,27.66,PASS,None
100472,M3,3.683,18.19,27.34,PASS,None
100473,M2,3.686,14.43,27.37,PASS,None
100474,M3,3.648,15.26,27.52,PASS,None
100475,M6,3.735,18.92,27.58,PASS,None
100476,M5,3.679,19.56,27.25,PASS,None
100477,M3,3.707,16.63,27.68,PASS,None
100478,M3,3.69,17.63,27.52,PASS,None
100479,M3,3.684,18.44,27.07,PASS,None
100480,M1,3.709,19.04,27.27,PASS,None
100481,M5,3.696,14.96,27.37,PASS,None
100482,M1,3.699,16.67,27.48,PASS,None
100483,M5,3.688,17.5,27.97,PASS,None
100484,M5,3.761,19.05,27.56,PASS,None
100485,M3,3.711,21.75,27.29,PASS,None
100486,M8,3.699,17.66,27.56,PASS,None
100487,M6,3.674,15.89,27.41,PASS,None
100488,M7,3.699,18.6,27.58,PASS,None
100489,M6,3.656,19.98,27.65,PASS,None
100490,M5,3.652,18.16,27.8,PASS,None
100491,M2,3.659,16.64,27.49,PASS,None
100492,M7,3.692,19.44,27.91,PASS,None
100493,M6,3.705,19.0,27.73,PASS,None
100494,M8,3.665,16.46,27.32,PASS,None
100495,M1,3.637,18.57,28.05,PASS,None
100496,M4,3.722,19.5,27.58,PASS,None
100497,M1,3.679,19.77,27.29,PASS,None
100498,M8,3.744,17.9,27.91,PASS,None
100499,M2,3.707,17.46,28.02,PASS,None
100500,M6,3.661,19.84,27.49,PASS,None
100501,M7,3.673,16.18,27.37,PASS,None
100502,M6,3.7,18.66,27.46,PASS,None
100503,M7,3.644,15.94,27.68,PASS,None
100504,M2,3.628,19.6,27.82,PASS,None
100505,M6,3.719,17.61,27.64,PASS,None
100506,M3,3.741,19.9,27.53,PASS,None
100507,M1,3.675,18.74,27.87,PASS,None
100508,M6,3.709,16.17,27.42,PASS,None
100509,M3,3.664,20.14,27.76,PASS,None
100510,M6,3.635,20.33,27.43,PASS,None
100511,M7,3.67,19.32,27.61,PASS,None
100512,M6,3.664,16.86,27.47,PASS,None
100513,M5,3.678,17.54,27.49,PASS,None
100514,M6,3.666,18.22,27.41,PASS,None
100515,M5,3.647,16.94,27.84,PASS,None
100516,M8,3.706,20.54,27.32,PASS,None
100517,M1,3.664,18.22,27.31,PASS,None
100518,M7,3.692,13.94,28.03,PASS,None
100519,M1,3.727,18.51,27.74,PASS,None
100520,M4,3.658,17.48,26.9,PASS,None
100521,M7,3.698,17.89,27.36,PASS,None
100522,M7,3.694,17.45,27.05,PASS,None
100523,M1,3.696,19.21,27.26,PASS,None
100524,M6,3.65,19.68,26.72,PASS,None
100525,M6,3.626,18.42,27.47,PASS,None
100526,M6,3.651,17.49,27.21,PASS,None
100527,M8,3.648,17.94,27.51,PASS,None
100528,M5,3.707,18.03,27.09,PASS,None
100529,M4,3.655,16.8,27.52,PASS,None
100530,M6,3.586,18.87,27.4,PASS,None
100531,M5,3.615,18.69,27.88,PASS,None
100532,M7,3.746,20.31,27.85,PASS,None
100533,M1,3.678,19.88,27.7,PASS,None
100534,M6,3.66,16.97,27.42,PASS,None
100535,M8,3.696,19.23,28.0,PASS,None
100536,M5,3.683,16.57,27.11,PASS,None
100537,M4,3.703,19.04,27.15,PASS,None
100538,M4,3.784,17.23,27.48,PASS,None
100539,M6,3.669,16.47,28.06,PASS,None
100540,M3,3.639,18.42,27.45,PASS,None
100541,M7,3.728,13.99,27.45,PASS,None
100542,M4,3.717,15.37,27.14,PASS,None
100543,M1,3.691,17.73,27.74,PASS,None
100544,M1,3.715,18.12,27.74,PASS,None
100545,M1,3.656,17.45,27.7,PASS,None
100546,M5,3.638,15.63,27.34,PASS,None
100547,M2,3.678,16.77,27.32,PASS,None
100548,M8,3.699,18.59,27.18,PASS,None
100549,M5,3.715,18.87,27.52,PASS,None
100550,M3,3.694,17.98,27.23,PASS,None
100551,M3,3.692,19.74,27.21,PASS,None
100552,M5,3.722,18.6,27.39,PASS,None
100553,M3,3.719,16.88,27.38,PASS,None
100554,M7,3.656,17.58,27.37,PASS,None
100555,M7,3.644,15.9,27.62,PASS,None
100556,M3,3.7,17.84,27.52,PASS,None
100557,M1,3.668,19.67,27.43,PASS,None
100558,M8,3.669,19.03,27.55,PASS,None
100559,M1,3.708,20.1,27.25,PASS,None
100560,M4,3.677,17.55,27.53,PASS,None
100561,M8,3.65,20.02,27.54,PASS,None
100562,M5,3.684,17.71,27.12,PASS,None
100563,M6,3.691,20.21,27.75,PASS,None
100564,M3,3.644,17.97,27.28,PASS,None
100565,M6,3.649,19.06,27.52,PASS,None
100566,M4,3.685,20.21,27.79,PASS,None
100567,M8,3.707,17.71,27.73,PASS,None
100568,M2,3.673,18.33,27.51,PASS,None
100569,M4,3.677,19.93,27.41,PASS,None
100570,M3,3.67,17.8,27.74,PASS,None
100571,M2,3.663,16.02,27.67,PASS,None
100572,M2,3.689,21.21,27.35,PASS,None
100573,M8,3.687,17.3,27.3,PASS,None
100574,M8,3.699,18.24,26.98,PASS,None
100575,M5,3.665,19.73,27.54,PASS,None
100576,M5,3.735,17.09,27.48,PASS,None
100577,M2,3.684,16.49,27.78,PASS,None
100578,M2,3.634,18.38,27.59,PASS,None
100579,M8,3.716,15.31,27.83,PASS,None
